count,mean,std,min,25%,50%,75%,max
2.0,192.5,269.4076836320746,2.0,97.25,192.5,287.75,383.0
1.0,155.0,,155.0,155.0,155.0,155.0,155.0
1.0,128.0,,128.0,128.0,128.0,128.0,128.0
4.0,103.5,84.90190417966686,2.0,49.25,117.0,171.25,178.0
16.0,65.5,117.15346061185446,0.0,4.0,15.5,56.5,362.0
7.0,62.714285714285715,77.34061952539187,5.0,25.5,27.0,64.5,227.0
3.0,62.0,61.0,6.0,29.5,53.0,90.0,127.0
14.0,52.5,48.69646962405133,8.0,25.75,44.0,58.0,202.0
215.0,46.437209302325584,71.1522949474419,0.0,11.5,24.0,53.0,428.0
17.0,41.588235294117645,28.79682886953313,1.0,22.0,35.0,57.0,96.0
112.0,40.705357142857146,51.513426640009335,1.0,16.75,34.5,51.25,481.0
300.0,40.42,43.60460378872747,1.0,15.0,25.0,52.0,319.0
23.0,38.52173913043478,24.239092327022988,2.0,20.0,31.0,59.5,79.0
49.0,38.08163265306123,31.49724639730027,3.0,19.0,33.0,49.0,202.0
11.0,37.81818181818182,25.868197393008202,6.0,16.5,36.0,50.5,78.0
64.0,37.671875,48.06247742377739,3.0,16.0,24.0,51.0,341.0
152.0,37.151315789473685,34.73680794304223,0.0,15.0,26.5,52.0,258.0
38.0,36.60526315789474,23.650083679280808,2.0,19.75,28.5,48.75,108.0
67.0,34.83582089552239,36.26108901025808,2.0,13.0,25.0,47.0,236.0
76.0,34.223684210526315,29.723435729722553,1.0,17.0,25.5,39.25,170.0
16.0,34.0,24.372115213907882,3.0,15.0,34.0,52.25,73.0
29.0,33.06896551724138,26.57728761082982,2.0,14.0,23.0,44.0,127.0
82.0,32.96341463414634,31.161247348982585,1.0,12.25,24.0,47.75,185.0
46.0,32.82608695652174,24.850937248433986,0.0,17.0,26.0,43.75,116.0
231.0,32.46320346320346,29.63938604872543,1.0,13.0,25.0,45.0,194.0
55.0,32.236363636363635,32.64509698105302,2.0,10.0,26.0,44.5,206.0
107.0,31.906542056074766,25.50528347420647,2.0,15.0,26.0,42.0,151.0
42.0,31.357142857142858,28.818034181336085,2.0,12.25,23.0,37.0,144.0
43.0,30.976744186046513,24.440879467549586,1.0,12.0,25.0,47.5,103.0
7.0,28.142857142857142,17.324631515355733,6.0,17.0,24.0,41.5,50.0
50.0,27.92,23.55093481397808,1.0,12.5,22.5,37.5,120.0
37.0,24.945945945945947,20.53580334974065,4.0,12.0,17.0,28.0,103.0
53.0,23.50943396226415,17.59657160829198,1.0,9.0,17.0,35.0,80.0
5.0,19.8,22.554378732299412,3.0,3.0,17.0,18.0,58.0
3.0,19.666666666666668,18.14754345175493,3.0,10.0,17.0,28.0,39.0
6.0,17.5,14.48792600754159,2.0,6.25,15.0,28.25,37.0
10.0,15.9,9.158481193832184,5.0,8.5,16.0,22.0,33.0
1.0,14.0,,14.0,14.0,14.0,14.0,14.0
1.0,8.0,,8.0,8.0,8.0,8.0,8.0
2.0,6.0,0.0,6.0,6.0,6.0,6.0,6.0
1.0,5.0,,5.0,5.0,5.0,5.0,5.0
1.0,1.0,,1.0,1.0,1.0,1.0,1.0
